web_scraper_order,web_scraper_start_url,pagination,book link,title,rating,price,stock,category,UPC,rating_word,rating_num,cluster,Genre,Genre_label
1771418840-1,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-50.html,https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html,"1,000 Places to See Before You Die",star-rating Five,26.08,In stock (1 available),Travel,228ba5e7577e1d49,Five,5,1,Cluster_1,1
1771418843-2,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-50.html,https://books.toscrape.com/catalogue/1st-to-die-womens-murder-club-1_2/index.html,1st to Die (Women's Murder Club #1),star-rating One,53.98,In stock (1 available),Mystery,f684a82adc49f011,One,1,0,Cluster_0,0
1771418845-3,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-50.html,https://books.toscrape.com/catalogue/a-spys-devotion-the-regency-spies-of-london-1_3/index.html,A Spy's Devotion (The Regency Spies of London #1),star-rating Five,16.97,In stock (1 available),Historical Fiction,19fec36a1dfb4c16,Five,5,1,Cluster_1,1
1771418847-4,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-50.html,https://books.toscrape.com/catalogue/ajin-demi-human-volume-1-ajin-demi-human-1_4/index.html,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",star-rating Four,57.06,In stock (1 available),Sequential Art,bfd5e1701c862ac3,Four,4,3,Cluster_3,3
1771418849-5,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-50.html,https://books.toscrape.com/catalogue/alice-in-wonderland-alices-adventures-in-wonderland-1_5/index.html,Alice in Wonderland (Alice's Adventures in Wonderland #1),star-rating One,55.53,In stock (1 available),Classics,cd2a2a70dd5d176d,One,1,0,Cluster_0,0
1771418851-6,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-50.html,https://books.toscrape.com/catalogue/beyond-good-and-evil_6/index.html,Beyond Good and Evil,star-rating One,43.38,In stock (1 available),Philosophy,08672cd59171d5e4,One,1,0,Cluster_0,0
1771418854-7,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-50.html,https://books.toscrape.com/catalogue/bleach-vol-1-strawberry-and-the-soul-reapers-bleach-1_7/index.html,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",star-rating Five,34.65,In stock (1 available),Sequential Art,099fae4a0705d63b,Five,5,3,Cluster_3,3
1771418856-8,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-50.html,https://books.toscrape.com/catalogue/blood-defense-samantha-brinkman-1_8/index.html,Blood Defense (Samantha Brinkman #1),star-rating Three,20.3,In stock (1 available),Mystery,95cdfd514098c38b,Three,3,1,Cluster_1,1
1771418858-9,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-50.html,https://books.toscrape.com/catalogue/bounty-colorado-mountain-7_9/index.html,Bounty (Colorado Mountain #7),star-rating Four,37.26,In stock (1 available),Romance,abc0b15f2c907ff0,Four,4,3,Cluster_3,3
1771418860-10,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-50.html,https://books.toscrape.com/catalogue/bridget-joness-diary-bridget-jones-1_10/index.html,Bridget Jones's Diary (Bridget Jones #1),star-rating One,29.82,In stock (1 available),Womens Fiction,a2b4b685dfa94733,One,1,2,Cluster_2,2
